,artist_name
0,Michael Ian Black
1,Juan Carlos Escalante
2,Tim Wilson
3,Baron Vaughn
4,Mo Mandel
5,John Heffron
6,Brian Posehn
7,Paula Poundstone
8,Benny Hill
9,Javier Carranza El Costeno
10,Joe Hisaishi
11,Nicholas Britell
12,Joby Talbot
13,Graeme Revell
14,Alex Somers
15,Neil Davidge
16,Philip Glass
17,Jason Graves
18,Tomoki Miyoshi
19,Wojciech Kilar
20,Happy Jawbone Family Band
21,The Magnetic Fields
22,Code Kunst
23,Skizzy Mars
24,The Naked And Famous
25,Black Rebel Motorcycle Club
26,Eels
27,Dan Deacon
28,The Murlocs
29,Cigarettes After Sex
30,Les pommes de ma douche
31,Hot Club De Norvege
32,Blue Mitchell
33,Daniel Karlsson Trio
34,Jimmy Durante
35,Joe Liggins
36,Kenny Dorham
37,Lester Nowhere
38,Zoot Sims
39,Unchain
40,Solange
41,Ryan Caraveo
42,Ryan Hurd
43,John Gurney
44,Savage Garden
45,2NE1
46,The Goo Goo Dolls
47,The Head and the Heart
48,SZA
49,BlocBoy JB
50,Biosphere
51,B12
52,Kornél Kovács
53,Boards of Canada
54,Howie Lee
55,Jugurtha
56,Kompany
57,Bassnectar
58,Satoshi Tomiie
59,Seefeel
60,(Hed) P.E.
61,Written by Wolves
62,Miike Snow
63,The Lemonheads
64,Kyuss
65,Le Tigre
66,The Black Crowes
67,Tenacious D
68,Hercules & Love Affair
69,Inspector
70,Ryan Adams
71,Guster
72,Rainbow Kitten Surprise
73,Al Stewart
74,The Supremes
75,Bobby Vee
76,Daryl Hall & John Oates
77,Car Seat Headrest
78,Papercuts
79,Gene Pitney
80,Solomon Burke
81,Yung Lean
82,Ñejo
83,Eve
84,Pastor Troy
85,Freddie Gibbs
86,Ying Yang Twins
87,Marty
88,Field Mob
89,Talib Kweli
90,Patty Griffin
91,Siouxsie and the Banshees
92,Rhett Akins
93,Sidewalk Prophets
94,Al Stewart
95,Elvin Bishop
96,Miniature Tigers
97,Big Red Machine
98,Brothers Osborne
99,Kevin Morby
